,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
53094,2020-01-12,Ahmedabad,83.9,152.94,20.66,58.01,8.81,23.56,212.0,Poor
24121,2020-01-12,Delhi,205.89,270.83,18.69,17.78,2.93,20.79,347.0,Very Poor
76170,2020-01-12,Mumbai,111.37,183.76,29.0,11.52,1.13,44.54,241.0,Poor
76480,2020-01-12,Shillong,17.46,24.25,2.47,6.64,0.2,28.35,38.0,Good
35092,2020-01-12,Delhi,329.76,416.97,53.15,10.76,3.31,19.99,456.0,Severe
17516,2020-01-12,Delhi,235.86,399.8,53.4,29.09,1.66,23.17,444.0,Severe
88036,2020-01-12,Hyderabad,68.89,150.33,47.15,31.2,0.69,18.88,141.0,Moderate
73455,2020-01-12,Mumbai,107.99,240.72,32.21,10.36,1.74,13.74,262.0,Poor
25885,2020-01-12,Delhi,216.62,323.76,93.15,16.73,2.52,16.89,362.0,Very Poor
80959,2020-01-12,Jaipur,36.38,104.33,49.28,13.84,1.2,49.4,104.0,Moderate
15752,2020-01-12,Delhi,202.07,317.12,33.74,4.12,1.72,37.14,366.0,Very Poor
105719,2020-01-12,Kolkata,102.26,183.37,51.74,8.93,0.82,16.4,272.0,Poor
5230,2020-01-12,Patna,79.05,142.64,57.59,9.21,1.59,3.57,172.0,Moderate
74221,2020-01-12,Mumbai,85.08,232.89,75.25,5.6,1.15,37.82,203.0,Poor
83055,2020-01-12,Jaipur,52.23,100.83,58.57,9.9,1.18,51.5,113.0,Moderate
91807,2020-01-12,Hyderabad,78.12,153.86,60.13,1.96,1.04,28.61,162.0,Moderate
107863,2020-01-12,Kolkata,87.49,148.56,53.89,7.47,1.28,40.06,212.0,Poor
73829,2020-01-12,Mumbai,95.87,161.28,31.55,9.45,0.67,36.17,193.0,Moderate
5725,2020-01-12,Chandigarh,75.8,165.63,17.6,9.83,0.92,6.26,123.0,Moderate
29707,2020-01-12,Delhi,168.09,249.83,40.6,4.77,1.69,42.23,332.0,Very Poor
69090,2020-01-12,Bengaluru,39.12,75.87,17.83,2.99,0.97,44.05,80.0,Satisfactory
5039,2020-01-12,Patna,82.39,151.14,30.9,5.57,1.66,6.83,143.0,Moderate
39805,2020-01-12,Delhi,219.5,219.5,58.54,12.29,2.38,322.2,361.0,Very Poor
2743,2020-01-12,Guwahati,148.21,225.76,15.26,13.2,1.68,18.03,335.0,Very Poor
50204,2020-01-13,Delhi,260.65,377.58,27.1,14.15,2.23,16.91,419.0,Severe
105720,2020-01-13,Kolkata,111.82,212.18,72.03,7.89,1.14,28.47,233.0,Poor
2744,2020-01-13,Guwahati,152.57,240.56,14.06,13.1,1.68,18.18,321.0,Very Poor
74222,2020-01-13,Mumbai,64.95,145.87,44.61,1.32,0.41,32.5,154.0,Moderate
17517,2020-01-13,Delhi,237.15,363.52,62.98,12.53,2.09,22.5,413.0,Severe
48592,2020-01-13,Delhi,228.0,372.62,49.84,9.03,1.82,23.59,368.0,Very Poor
60747,2020-01-13,Bengaluru,54.51,115.57,60.77,8.85,1.02,79.19,163.0,Moderate
37893,2020-01-13,Delhi,216.86,329.1,21.39,2.53,2.18,8.53,378.0,Very Poor
47710,2020-01-13,Delhi,238.9,416.99,79.04,13.66,3.46,23.39,406.0,Severe
25886,2020-01-13,Delhi,260.23,389.99,95.96,15.99,3.05,12.0,401.0,Severe
76171,2020-01-13,Mumbai,72.86,108.14,29.14,6.93,0.53,37.35,197.0,Moderate
73062,2020-01-13,Mumbai,44.81,63.35,1.67,4.11,0.43,14.68,99.0,Satisfactory
5726,2020-01-13,Chandigarh,63.64,120.83,15.63,7.38,0.88,7.63,170.0,Moderate
39806,2020-01-13,Delhi,209.39,209.39,63.46,9.11,1.78,292.66,388.0,Very Poor
106115,2020-01-13,Kolkata,52.38,180.24,48.11,9.03,1.39,8.79,162.0,Moderate
85404,2020-01-13,Hyderabad,53.84,124.62,50.19,5.89,0.0,28.33,118.0,Moderate
10881,2020-01-13,Delhi,228.38,390.17,56.67,12.08,1.58,23.75,405.0,Severe
29708,2020-01-13,Delhi,189.03,284.5,68.45,6.07,1.7,4.26,348.0,Very Poor
9123,2020-01-13,Delhi,247.2,358.71,44.46,9.33,1.02,25.91,406.0,Severe
27797,2020-01-13,Delhi,243.92,355.68,75.05,11.19,3.6,14.95,382.0,Very Poor
94196,2020-01-13,Chennai,76.96,122.43,6.32,4.13,0.6,38.2,138.0,Moderate
73830,2020-01-13,Mumbai,73.07,122.43,32.09,5.97,0.5,26.72,182.0,Moderate
74616,2020-01-13,Mumbai,69.9,104.88,12.39,3.24,0.75,43.5,166.0,Moderate
30438,2020-01-13,Delhi,225.82,362.2,56.14,14.34,1.93,25.67,403.0,Severe
70667,2020-01-13,Thiruvananthapuram,45.18,72.0,26.77,9.13,0.97,51.15,87.0,Satisfactory
84289,2020-01-13,Hyderabad,66.39,133.45,42.83,16.8,0.65,37.08,115.0,Moderate
25004,2020-01-13,Delhi,249.8,380.33,176.96,8.05,2.38,2.77,445.0,Severe
49322,2020-01-13,Delhi,209.94,254.92,36.96,8.27,2.19,48.35,353.0,Very Poor
76770,2020-01-13,Bhopal,62.95,150.56,43.3,15.23,1.31,49.23,146.0,Moderate
78746,2020-01-13,Talcher,174.63,371.73,24.96,2.93,2.24,21.51,324.0,Very Poor
24122,2020-01-13,Delhi,236.39,305.38,22.66,15.81,3.04,7.19,385.0,Very Poor
6325,2020-01-13,Delhi,202.56,282.48,45.69,8.7,1.49,15.38,361.0,Very Poor
44364,2020-01-13,Delhi,241.21,344.46,35.35,4.81,1.97,7.9,410.0,Severe
74994,2020-01-13,Mumbai,62.13,142.7,57.41,5.77,0.71,29.89,166.0,Moderate
2242,2020-01-13,Visakhapatnam,100.48,234.22,69.61,14.54,1.41,75.43,178.0,Moderate
107050,2020-01-13,Kolkata,79.48,184.62,49.34,16.55,1.45,31.91,143.0,Moderate
34211,2020-01-13,Delhi,214.23,371.72,63.04,11.86,0.88,16.51,376.0,Very Poor
79967,2020-01-13,Amritsar,47.0,61.51,10.01,6.24,0.4,25.62,74.0,Satisfactory
780,2020-01-13,Amaravati,85.67,121.55,20.64,32.97,0.95,47.84,177.0,Moderate
82074,2020-01-13,Jaipur,69.43,201.02,47.88,10.58,1.1,23.45,156.0,Moderate
88037,2020-01-13,Hyderabad,65.56,133.1,41.54,20.49,0.6,24.04,124.0,Moderate
53095,2020-01-13,Ahmedabad,89.34,143.84,19.05,62.71,8.08,23.69,368.0,Very Poor
8241,2020-01-13,Delhi,273.77,317.5,55.83,4.36,3.0,59.61,421.0,Severe
86637,2020-01-13,Hyderabad,63.21,139.09,31.98,9.67,0.63,28.57,124.0,Moderate
91808,2020-01-13,Hyderabad,75.94,146.75,63.88,2.87,1.15,31.35,159.0,Moderate
16635,2020-01-13,Delhi,229.97,316.04,43.17,15.44,1.92,3.27,378.0,Very Poor
63181,2020-01-13,Bengaluru,57.35,104.12,31.81,6.17,0.77,42.38,98.0,Satisfactory
98600,2020-01-13,Coimbatore,56.33,62.29,76.87,6.82,0.28,45.14,84.0,Satisfactory
5040,2020-01-13,Patna,63.61,131.81,25.14,5.25,1.68,5.56,150.0,Moderate
33329,2020-01-13,Delhi,175.5,256.27,38.06,5.48,1.38,25.03,337.0,Very Poor
83056,2020-01-13,Jaipur,45.4,91.16,48.42,13.21,0.81,48.48,113.0,Moderate
63911,2020-01-13,Bengaluru,55.66,109.53,23.63,9.78,0.99,68.66,115.0,Moderate
107864,2020-01-13,Kolkata,94.75,174.52,72.69,7.34,1.15,44.53,188.0,Moderate
43482,2020-01-13,Delhi,182.74,332.29,54.4,12.07,0.78,70.81,372.0,Very Poor
76481,2020-01-13,Shillong,57.08,38.59,2.82,7.76,0.36,29.71,52.0,Satisfactory
5231,2020-01-13,Patna,110.46,144.83,55.58,10.67,2.41,3.75,162.0,Moderate
80960,2020-01-13,Jaipur,37.6,109.95,46.08,15.36,0.82,41.78,110.0,Moderate
51086,2020-01-13,Delhi,271.67,396.73,13.6,9.29,2.75,15.14,425.0,Severe
75389,2020-01-13,Mumbai,84.63,128.41,11.0,2.7,1.01,25.53,259.0,Poor
105322,2020-01-13,Kolkata,80.83,168.33,43.04,31.27,1.18,53.36,167.0,Moderate
73456,2020-01-13,Mumbai,76.58,156.56,29.88,5.46,1.0,10.12,204.0,Poor
35093,2020-01-13,Delhi,301.1,424.14,50.8,13.0,2.79,13.21,475.0,Severe
15753,2020-01-13,Delhi,204.87,311.25,40.59,3.95,1.99,31.88,369.0,Very Poor
37011,2020-01-13,Delhi,257.83,394.67,52.45,16.6,2.58,21.76,412.0,Severe
105006,2020-01-13,Kolkata,95.17,136.09,44.35,9.17,1.44,42.98,153.0,Moderate
106719,2020-01-13,Kolkata,106.09,280.22,87.52,26.77,0.76,44.05,252.0,Poor
35094,2020-01-14,Delhi,174.85,217.53,32.13,10.94,1.42,13.13,374.0,Very Poor
40537,2020-01-14,Delhi,118.96,185.56,62.96,14.43,3.54,12.3,322.0,Very Poor
91809,2020-01-14,Hyderabad,79.44,160.22,65.65,1.79,1.02,29.47,155.0,Moderate
78747,2020-01-14,Talcher,173.53,356.94,25.1,5.97,2.12,8.62,348.0,Very Poor
16636,2020-01-14,Delhi,130.86,175.2,35.77,11.01,1.44,1.47,336.0,Very Poor
106720,2020-01-14,Kolkata,135.22,330.76,107.88,30.69,1.35,51.32,224.0,Poor
17518,2020-01-14,Delhi,108.81,173.01,39.91,11.36,1.02,22.09,310.0,Very Poor
63182,2020-01-14,Bengaluru,78.81,134.15,40.88,11.86,0.56,42.56,139.0,Moderate
33330,2020-01-14,Delhi,72.6,93.24,20.57,5.36,0.53,18.59,229.0,Poor
2745,2020-01-14,Guwahati,186.62,270.35,14.47,13.22,1.84,18.17,326.0,Very Poor
83057,2020-01-14,Jaipur,30.61,67.96,29.11,14.84,0.67,53.86,86.0,Satisfactory
76482,2020-01-14,Shillong,35.92,48.29,2.74,7.73,0.47,25.08,60.0,Satisfactory
37012,2020-01-14,Delhi,137.4,191.4,42.69,12.42,1.41,13.22,346.0,Very Poor
75785,2020-01-14,Mumbai,37.14,82.4,30.94,3.44,0.45,21.99,77.0,Satisfactory
47711,2020-01-14,Delhi,116.14,167.93,43.78,8.68,0.95,26.38,331.0,Very Poor
49323,2020-01-14,Delhi,109.98,129.1,28.32,6.18,0.87,24.17,316.0,Very Poor
9124,2020-01-14,Delhi,139.47,184.64,29.89,8.72,0.58,15.75,350.0,Very Poor
82075,2020-01-14,Jaipur,44.17,152.43,37.13,11.37,0.7,33.89,143.0,Moderate
53096,2020-01-14,Ahmedabad,39.83,44.53,16.42,25.78,3.26,23.62,189.0,Moderate
44365,2020-01-14,Delhi,121.71,147.75,12.17,2.97,0.77,10.31,333.0,Very Poor
106116,2020-01-14,Kolkata,86.6,256.74,59.02,10.33,2.46,10.98,210.0,Poor
15754,2020-01-14,Delhi,98.97,144.04,18.6,2.85,0.83,36.66,309.0,Very Poor
74995,2020-01-14,Mumbai,43.72,122.72,54.51,5.04,0.66,26.5,113.0,Moderate
105721,2020-01-14,Kolkata,186.35,339.12,107.42,10.16,2.31,36.94,331.0,Very Poor
74617,2020-01-14,Mumbai,33.92,74.22,10.57,3.69,0.53,50.63,91.0,Satisfactory
34212,2020-01-14,Delhi,110.34,176.72,26.57,12.33,1.25,22.71,322.0,Very Poor
94197,2020-01-14,Chennai,136.81,168.34,8.68,14.62,1.08,37.84,253.0,Poor
79968,2020-01-14,Amritsar,31.25,83.72,9.89,6.54,0.66,20.19,64.0,Satisfactory
27798,2020-01-14,Delhi,132.53,183.11,56.34,9.91,0.0,11.88,345.0,Very Poor
24123,2020-01-14,Delhi,146.23,175.66,17.69,10.89,1.2,9.26,348.0,Very Poor
50205,2020-01-14,Delhi,163.31,215.96,55.41,13.03,1.16,10.05,374.0,Very Poor
39807,2020-01-14,Delhi,96.51,96.51,39.85,18.33,1.44,131.82,307.0,Very Poor
10882,2020-01-14,Delhi,116.67,154.68,25.12,10.51,0.83,26.99,328.0,Very Poor
781,2020-01-14,Amaravati,82.66,111.92,14.0,17.11,0.85,56.49,168.0,Moderate
76172,2020-01-14,Mumbai,34.17,73.36,30.06,7.07,0.41,46.66,102.0,Moderate
107865,2020-01-14,Kolkata,166.78,277.71,114.69,8.65,1.52,33.73,308.0,Very Poor
85405,2020-01-14,Hyderabad,62.21,124.83,35.48,1.53,0.0,41.96,118.0,Moderate
88038,2020-01-14,Hyderabad,80.38,156.62,44.33,9.49,0.69,21.48,123.0,Moderate
48593,2020-01-14,Delhi,122.5,159.49,29.47,5.71,0.96,16.26,339.0,Very Poor
51087,2020-01-14,Delhi,135.12,185.38,9.19,8.04,1.87,8.88,356.0,Very Poor
105007,2020-01-14,Kolkata,194.09,267.74,59.03,8.9,2.66,36.45,333.0,Very Poor
73831,2020-01-14,Mumbai,40.06,86.17,21.49,1.13,0.22,21.97,101.0,Moderate
70668,2020-01-14,Thiruvananthapuram,48.75,85.45,26.54,8.56,0.91,58.43,82.0,Satisfactory
29709,2020-01-14,Delhi,109.95,158.69,52.41,4.02,1.34,4.92,315.0,Very Poor
2243,2020-01-14,Visakhapatnam,177.2,326.4,79.29,16.45,2.08,44.07,326.0,Very Poor
84290,2020-01-14,Hyderabad,76.94,131.96,38.53,8.38,0.77,47.13,138.0,Moderate
107051,2020-01-14,Kolkata,126.83,271.43,73.22,18.38,2.14,23.29,281.0,Poor
73457,2020-01-14,Mumbai,44.01,143.14,24.37,5.57,0.86,11.0,126.0,Moderate
5232,2020-01-14,Patna,103.31,176.58,55.1,10.7,2.94,3.81,263.0,Poor
6326,2020-01-14,Delhi,108.74,142.46,28.29,8.63,0.99,10.7,320.0,Very Poor
43483,2020-01-14,Delhi,85.43,156.24,34.71,11.02,0.59,75.1,263.0,Poor
80961,2020-01-14,Jaipur,29.75,67.74,33.0,11.27,0.93,46.47,95.0,Satisfactory
105323,2020-01-14,Kolkata,116.68,165.9,56.52,30.26,1.98,43.94,258.0,Poor
76771,2020-01-14,Bhopal,85.64,158.56,48.0,11.31,1.43,33.43,147.0,Moderate
25005,2020-01-14,Delhi,161.71,225.49,181.1,7.82,1.56,2.64,358.0,Very Poor
25887,2020-01-14,Delhi,124.07,175.22,56.33,10.44,0.95,11.99,337.0,Very Poor
63912,2020-01-14,Bengaluru,61.82,118.8,26.87,10.19,1.08,71.53,132.0,Moderate
73063,2020-01-14,Mumbai,27.93,62.09,1.87,4.15,0.46,14.75,57.0,Satisfactory
60748,2020-01-14,Bengaluru,62.64,125.61,62.9,8.06,0.84,76.15,183.0,Moderate
74223,2020-01-14,Mumbai,22.53,118.34,38.64,1.47,0.28,38.63,113.0,Moderate
98601,2020-01-14,Coimbatore,56.49,59.76,67.22,7.84,0.25,55.24,100.0,Satisfactory
30439,2020-01-14,Delhi,97.67,128.68,30.13,14.05,0.91,27.47,285.0,Poor
37894,2020-01-14,Delhi,129.56,184.71,14.21,1.83,1.19,7.55,336.0,Very Poor
8242,2020-01-14,Delhi,152.61,224.21,38.37,7.38,1.97,61.33,367.0,Very Poor
86638,2020-01-14,Hyderabad,69.49,138.95,25.5,7.62,0.71,39.73,127.0,Moderate
5727,2020-01-14,Chandigarh,39.14,73.4,9.24,6.7,0.69,8.2,88.0,Satisfactory
24124,2020-01-15,Delhi,123.91,159.53,21.46,14.21,1.25,10.49,305.0,Very Poor
80962,2020-01-15,Jaipur,29.59,70.79,24.68,12.35,0.64,53.34,86.0,Satisfactory
76483,2020-01-15,Shillong,38.86,50.15,2.84,8.02,0.43,23.68,64.0,Satisfactory
78748,2020-01-15,Talcher,176.28,305.29,19.38,25.32,0.73,12.74,342.0,Very Poor
10883,2020-01-15,Delhi,127.21,191.12,31.32,12.62,0.96,34.59,272.0,Poor
73064,2020-01-15,Mumbai,24.99,57.7,1.28,4.07,0.49,14.89,63.0,Satisfactory
17519,2020-01-15,Delhi,133.69,249.84,60.67,11.95,1.21,26.19,281.0,Poor
73458,2020-01-15,Mumbai,39.59,138.13,35.44,6.19,0.78,11.7,132.0,Moderate
43484,2020-01-15,Delhi,90.15,184.14,42.86,12.79,0.98,71.26,181.0,Moderate
25888,2020-01-15,Delhi,109.09,182.45,76.28,11.66,1.08,20.0,261.0,Poor
75391,2020-01-15,Mumbai,25.78,83.53,15.05,2.58,0.53,54.56,87.0,Satisfactory
37013,2020-01-15,Delhi,120.5,192.27,50.89,14.47,1.56,17.65,285.0,Poor
47712,2020-01-15,Delhi,106.15,176.66,56.62,7.97,1.27,27.95,244.0,Poor
48594,2020-01-15,Delhi,105.98,154.07,31.76,7.87,0.86,17.99,240.0,Poor
106721,2020-01-15,Kolkata,221.35,519.52,123.02,29.18,2.09,37.24,470.0,Severe
51088,2020-01-15,Delhi,133.35,195.3,11.38,9.73,1.89,8.51,302.0,Very Poor
82076,2020-01-15,Jaipur,58.32,120.89,38.76,10.51,0.63,33.09,127.0,Moderate
782,2020-01-15,Amaravati,68.4,90.93,11.06,18.33,0.76,48.09,163.0,Moderate
16637,2020-01-15,Delhi,110.67,175.79,43.8,10.54,1.24,1.78,265.0,Poor
91810,2020-01-15,Hyderabad,66.48,121.3,53.98,2.01,0.78,26.08,150.0,Moderate
86639,2020-01-15,Hyderabad,45.72,78.74,11.43,7.35,0.47,39.62,104.0,Moderate
8243,2020-01-15,Delhi,115.53,194.67,46.6,8.58,1.29,60.2,272.0,Poor
33331,2020-01-15,Delhi,83.89,108.11,23.06,5.3,0.61,24.18,150.0,Moderate
107866,2020-01-15,Kolkata,190.95,336.22,140.75,12.82,2.09,45.78,350.0,Very Poor
83058,2020-01-15,Jaipur,42.0,82.9,29.97,12.58,0.66,55.08,85.0,Satisfactory
63183,2020-01-15,Bengaluru,54.18,91.32,29.87,14.5,0.69,52.04,126.0,Moderate
98602,2020-01-15,Coimbatore,45.78,47.38,60.29,7.98,0.16,64.71,90.0,Satisfactory
5233,2020-01-15,Patna,125.19,209.23,65.82,8.58,3.13,4.69,244.0,Poor
35095,2020-01-15,Delhi,172.15,239.34,38.3,10.1,1.54,17.87,332.0,Very Poor
105324,2020-01-15,Kolkata,132.11,237.17,63.1,28.06,2.1,49.24,284.0,Poor
6327,2020-01-15,Delhi,110.76,164.16,32.57,11.46,1.43,11.05,226.0,Poor
53097,2020-01-15,Ahmedabad,53.27,90.4,16.01,19.5,3.59,23.66,142.0,Moderate
44366,2020-01-15,Delhi,132.25,179.96,17.37,4.52,0.77,14.96,298.0,Poor
107052,2020-01-15,Kolkata,129.74,249.94,70.68,21.95,1.89,27.65,279.0,Poor
15755,2020-01-15,Delhi,116.49,203.65,24.83,3.8,0.98,46.64,240.0,Poor
2244,2020-01-15,Visakhapatnam,89.81,180.44,50.12,6.53,1.26,34.36,258.0,Poor
74996,2020-01-15,Mumbai,39.04,119.67,61.2,4.5,0.57,33.17,121.0,Moderate
34213,2020-01-15,Delhi,111.24,200.57,34.34,12.78,0.73,30.42,231.0,Poor
63913,2020-01-15,Bengaluru,44.84,83.33,16.55,10.44,1.14,74.39,103.0,Moderate
105008,2020-01-15,Kolkata,226.68,294.63,70.94,10.35,2.3,29.23,362.0,Very Poor
76173,2020-01-15,Mumbai,24.61,60.57,38.4,10.28,0.35,56.19,83.0,Satisfactory
40538,2020-01-15,Delhi,127.94,215.67,82.57,20.82,4.14,21.9,284.0,Poor
2746,2020-01-15,Guwahati,378.08,489.02,15.07,13.41,3.75,18.45,462.0,Severe
70669,2020-01-15,Thiruvananthapuram,61.78,90.09,25.43,8.77,1.06,58.14,97.0,Satisfactory
73832,2020-01-15,Mumbai,28.71,74.35,22.26,4.84,0.26,81.15,88.0,Satisfactory
76772,2020-01-15,Bhopal,105.95,162.64,36.38,10.5,1.22,28.41,200.0,Moderate
84291,2020-01-15,Hyderabad,54.03,76.19,15.26,4.31,0.4,38.04,125.0,Moderate
49324,2020-01-15,Delhi,104.04,134.92,41.08,6.2,0.99,30.61,234.0,Poor
74618,2020-01-15,Mumbai,26.62,66.01,17.0,4.0,0.51,52.59,85.0,Satisfactory
77823,2020-01-15,Brajrajnagar,115.69,209.26,26.74,8.53,0.82,26.83,296.0,Poor
94198,2020-01-15,Chennai,48.67,66.92,6.62,18.19,0.54,36.94,176.0,Moderate
30440,2020-01-15,Delhi,145.1,219.1,36.09,14.66,1.14,34.83,296.0,Poor
9125,2020-01-15,Delhi,132.52,203.46,37.48,10.24,0.72,22.41,300.0,Poor
27799,2020-01-15,Delhi,110.18,173.7,61.64,11.83,0.0,12.34,248.0,Poor
29710,2020-01-15,Delhi,95.88,160.88,52.13,3.57,1.11,7.31,203.0,Poor
39808,2020-01-15,Delhi,99.72,99.72,48.32,23.39,1.52,157.38,238.0,Poor
25006,2020-01-15,Delhi,172.28,257.18,194.73,8.39,1.55,2.64,327.0,Very Poor
85406,2020-01-15,Hyderabad,34.69,71.5,20.5,2.52,0.0,36.59,95.0,Satisfactory
37895,2020-01-15,Delhi,99.48,164.72,16.09,2.34,1.1,12.27,225.0,Poor
75786,2020-01-15,Mumbai,30.42,90.63,37.82,3.76,0.33,36.01,89.0,Satisfactory
105722,2020-01-15,Kolkata,201.71,372.96,117.12,20.49,2.51,45.78,359.0,Very Poor
60749,2020-01-15,Bengaluru,45.23,88.93,46.7,8.5,0.53,103.17,183.0,Moderate
5728,2020-01-15,Chandigarh,46.49,85.04,12.03,7.03,0.68,9.22,77.0,Satisfactory
50206,2020-01-15,Delhi,125.69,191.83,106.45,18.84,0.81,15.61,298.0,Poor
74224,2020-01-15,Mumbai,34.7,127.13,49.86,3.28,0.3,48.03,119.0,Moderate
106117,2020-01-15,Kolkata,151.46,284.07,74.68,11.62,2.58,12.98,287.0,Poor
74225,2020-01-16,Mumbai,36.52,119.54,41.47,4.72,0.22,72.42,104.0,Moderate
9126,2020-01-16,Delhi,169.79,224.17,36.28,9.52,0.75,12.46,323.0,Very Poor
5234,2020-01-16,Patna,103.49,193.97,85.78,11.23,2.21,2.54,306.0,Very Poor
86640,2020-01-16,Hyderabad,29.01,56.21,8.72,5.26,0.42,34.15,65.0,Satisfactory
33332,2020-01-16,Delhi,105.26,144.44,24.01,5.73,0.63,13.03,230.0,Poor
85407,2020-01-16,Hyderabad,21.41,58.89,20.85,2.55,0.0,30.04,61.0,Satisfactory
34214,2020-01-16,Delhi,145.96,232.07,36.76,12.87,0.68,11.13,303.0,Very Poor
15756,2020-01-16,Delhi,144.84,195.25,23.01,3.88,1.04,24.91,305.0,Very Poor
39809,2020-01-16,Delhi,135.76,135.76,44.91,14.63,1.66,196.45,304.0,Very Poor
2245,2020-01-16,Visakhapatnam,71.06,103.17,31.92,10.02,1.05,71.86,160.0,Moderate
83059,2020-01-16,Jaipur,41.82,83.61,36.46,13.15,0.71,67.88,89.0,Satisfactory
107867,2020-01-16,Kolkata,160.24,277.02,118.57,8.91,1.81,52.01,340.0,Very Poor
49325,2020-01-16,Delhi,136.81,171.85,46.27,6.54,1.15,10.53,295.0,Poor
70670,2020-01-16,Thiruvananthapuram,47.74,74.82,27.92,8.71,0.97,54.89,98.0,Satisfactory
91811,2020-01-16,Hyderabad,55.53,100.92,50.75,2.16,0.78,26.85,106.0,Moderate
2747,2020-01-16,Guwahati,169.6,237.56,11.13,13.43,2.16,18.12,402.0,Severe
16638,2020-01-16,Delhi,143.7,200.17,41.26,11.78,1.23,1.24,308.0,Very Poor
10884,2020-01-16,Delhi,149.0,216.42,33.13,11.93,1.03,16.41,314.0,Very Poor
63914,2020-01-16,Bengaluru,40.77,92.39,23.49,10.7,1.19,82.55,146.0,Moderate
783,2020-01-16,Amaravati,56.44,75.95,10.33,9.86,0.64,47.51,108.0,Moderate
82077,2020-01-16,Jaipur,56.89,126.7,43.63,9.1,0.7,30.97,117.0,Moderate
30441,2020-01-16,Delhi,136.06,178.19,33.88,14.31,1.03,21.16,317.0,Very Poor
105723,2020-01-16,Kolkata,175.61,335.54,112.02,13.67,1.96,45.97,352.0,Very Poor
73833,2020-01-16,Mumbai,34.59,73.77,32.66,6.63,0.33,53.81,80.0,Satisfactory
60750,2020-01-16,Bengaluru,39.99,89.83,55.04,8.52,0.74,84.66,186.0,Moderate
63184,2020-01-16,Bengaluru,46.76,91.85,33.86,12.5,1.01,62.01,129.0,Moderate
74997,2020-01-16,Mumbai,33.06,115.84,63.26,4.09,0.54,29.02,109.0,Moderate
40539,2020-01-16,Delhi,159.67,236.85,70.31,24.35,1.74,10.17,319.0,Very Poor
75787,2020-01-16,Mumbai,34.31,91.74,41.38,3.21,0.35,31.97,91.0,Satisfactory
98603,2020-01-16,Coimbatore,32.48,35.77,61.69,7.79,0.1,54.34,83.0,Satisfactory
8244,2020-01-16,Delhi,163.99,207.25,38.45,9.47,1.89,62.59,317.0,Very Poor
107053,2020-01-16,Kolkata,118.89,198.51,56.09,14.38,1.58,35.01,310.0,Very Poor
37896,2020-01-16,Delhi,138.2,195.69,16.13,2.43,1.28,4.44,289.0,Poor
37014,2020-01-16,Delhi,144.88,208.19,48.66,14.58,1.63,8.11,313.0,Very Poor
47713,2020-01-16,Delhi,137.56,194.56,52.39,9.05,1.17,20.53,296.0,Poor
35096,2020-01-16,Delhi,196.68,252.62,35.99,11.57,1.51,4.16,351.0,Very Poor
76773,2020-01-16,Bhopal,134.02,196.56,32.54,9.74,1.33,18.93,307.0,Very Poor
76484,2020-01-16,Shillong,22.65,31.34,2.31,6.48,0.22,26.21,55.0,Satisfactory
76174,2020-01-16,Mumbai,32.77,63.55,40.81,9.38,0.41,48.32,78.0,Satisfactory
5729,2020-01-16,Chandigarh,40.07,79.2,11.91,6.47,0.67,8.12,80.0,Satisfactory
25889,2020-01-16,Delhi,136.32,186.99,74.57,16.41,0.99,6.31,298.0,Poor
27800,2020-01-16,Delhi,137.4,195.74,58.19,12.31,0.0,11.1,304.0,Very Poor
17520,2020-01-16,Delhi,163.2,232.08,57.36,13.38,1.29,9.28,323.0,Very Poor
50207,2020-01-16,Delhi,179.19,232.85,77.31,17.15,1.23,5.85,326.0,Very Poor
48595,2020-01-16,Delhi,136.84,183.02,31.34,8.22,0.97,8.27,293.0,Poor
75392,2020-01-16,Mumbai,41.77,79.3,16.87,2.28,0.55,59.96,93.0,Satisfactory
73065,2020-01-16,Mumbai,23.06,51.29,1.48,3.77,0.53,15.4,54.0,Satisfactory
78749,2020-01-16,Talcher,151.02,253.09,10.45,19.29,1.29,22.41,340.0,Very Poor
106118,2020-01-16,Kolkata,123.61,213.05,61.31,10.23,2.05,11.42,323.0,Very Poor
24125,2020-01-16,Delhi,132.88,160.98,19.3,13.33,1.34,4.2,305.0,Very Poor
105009,2020-01-16,Kolkata,149.73,225.98,47.36,10.28,1.4,42.13,358.0,Very Poor
43485,2020-01-16,Delhi,111.1,197.84,39.22,12.53,0.82,77.19,234.0,Poor
105325,2020-01-16,Kolkata,104.35,182.66,54.97,17.93,1.72,56.2,293.0,Poor
6328,2020-01-16,Delhi,117.48,170.85,28.96,9.41,1.05,4.36,282.0,Poor
84292,2020-01-16,Hyderabad,38.25,59.04,17.39,4.83,0.37,34.86,72.0,Satisfactory
51089,2020-01-16,Delhi,179.12,224.05,11.35,8.49,1.99,6.12,327.0,Very Poor
94199,2020-01-16,Chennai,32.14,44.39,5.91,17.97,0.48,36.96,64.0,Satisfactory
25007,2020-01-16,Delhi,197.77,276.41,191.91,10.86,1.65,2.7,353.0,Very Poor
77824,2020-01-16,Brajrajnagar,108.99,195.21,20.64,6.95,0.84,35.7,285.0,Poor
73459,2020-01-16,Mumbai,38.99,117.21,37.39,5.6,0.68,13.35,116.0,Moderate
44367,2020-01-16,Delhi,157.42,210.54,18.11,3.71,0.84,6.13,318.0,Very Poor
